idx,text,title,idx_right
0,"Date : Feb 5 , 2017 Location : NRG Stadium ( Houston , Texas ) Performer : Lady Gaga Producer : Ricky Kirshner Director : Hamish Hamilton Sponsor : Pepsi Zero Sugar References : Setlist : '' God Bless America '' / '' This Land Is Your Land '' '' Poker Face '' '' Born This Way '' '' Telephone '' '' Just Dance '' '' Million Reasons '' '' Bad Romance ''",List of Super Bowl halftime shows,20970820
1,"Date : Feb 4 , 2018 Location : U.S. Bank Stadium ( Minneapolis , Minnesota ) Performer : Justin Timberlake and the Tennessee Kids , University of Minnesota Marching Band Producer : Ricky Kirshner Director : Hamish Hamilton Sponsor : Pepsi References : Setlist : '' Filthy '' '' Rock Your Body '' '' Señorita '' '' SexyBack '' '' My Love '' '' Cry Me a River '' '' Suit & Tie '' ( Featuring the University of Minnesota Marching Band ) '' Until the End of Time '' '' I Would Die 4 U '' ( Pre-recorded video of Prince ( displayed on a projection screen ) with Justin Timberlake ) '' Mirrors '' '' Ca n't Stop the Feeling ! ''",List of Super Bowl halftime shows,20970820
2,"Date : Feb 3 , 2013 Location : Mercedes - Benz Superdome ( New Orleans , Louisiana ) Performers : Beyoncé , Destiny 's Child Producer : Ricky Kirshner Director : Hamish Hamilton Sponsor : Pepsi References : Setlist : '' Run The World ( Girls ) '' ( Intro ) / Vince Lombardi '' Excellence '' speech voiceover '' Love on Top '' ( chorus a cappella ) ( Beyoncé ) '' Crazy in Love '' ( Beyoncé ) '' End of Time '' ( Beyoncé ) '' Baby Boy '' ( Beyoncé ) '' Bootylicious '' ( Destiny 's Child ) '' Independent Women Part I '' ( Destiny 's Child ) '' Single Ladies ( Put a Ring on It ) '' ( Beyoncé featuring Kelly Rowland and Michelle Williams ) '' Halo '' ( Beyoncé )",List of Super Bowl halftime shows,20970820
3,"The NFL does not pay the halftime show performers an appearance fee , though it covers all expenses for the performers and their entourage of band members management , technical crew , security personnel , family , and friends . Super Bowl XXVII halftime show with Michael Jackson provided an exception , as the NFL and Frito - Lay agreed to make a donation and provide commercial time for Jackson 's Heal the World Foundation . According to Nielsen SoundScan data , the halftime performers regularly experience significant spikes in weekly album sales and paid digital downloads due to the exposure . For Super Bowl XLIX , it was reported by the Wall Street Journal that league officials asked representatives of potential acts if they would be willing to provide financial compensation to the NFL in exchange for their appearance , in the form of either an up - front fee , or a cut of revenue from concert performances made after the Super Bowl . While these reports were denied by an NFL spokeswoman , the request had , according to the Journal , received a '' chilly '' response from those involved .",List of Super Bowl halftime shows,20970820
4,"LI Main article : Super Bowl LI halftime show Date : Feb 5 , 2017 Location : NRG Stadium ( Houston , Texas ) Performer : Lady Gaga Producer : Ricky Kirshner Director : Hamish Hamilton Sponsor : Pepsi Zero Sugar References : Setlist : '' God Bless America '' / '' This Land Is Your Land '' '' Poker Face '' '' Born This Way '' '' Telephone '' '' Just Dance '' '' Million Reasons '' '' Bad Romance ''",List of Super Bowl halftime shows,20970820
5,"XXVI Date : Jan 26 , 1992 Location : Hubert H. Humphrey Metrodome ( Minneapolis , Minnesota ) Theme : Winter Magic , salute to 1992 Winter Olympics Performers : Gloria Estefan , Olympic Figure skaters Brian Boitano and Dorothy Hamill , members of the 1980 US Olympic Hockey Team , and the University of Minnesota Marching Band Producer : Timberline Productions References : Setlist : '' Winter Magic '' '' Walking in a Winter Wonderland '' '' Dance of the Sugar Plum Fairy '' '' Frosty '' ( University of Minnesota Marching Band ) '' One Moment in Time '' ( featuring Brian Boitano and Dorthy Hamill ) '' Do n't Stop Me Now '' ( featuring members of the 1980 US Olympic Hockey Team ) '' Live for Loving You '' ( Gloria Estefan ) '' Get on Your Feet '' ( Gloria Estefan ) Notes : During the halftime , rival network Fox aired a special live episode of In Living Color , one of the first deliberate attempts at counter-programming . The show drew over 22 million viewers away from the Super Bowl telecast . In mid-1992 , citing this , Select Productions pitched the concept of exclusively featuring live concert - type performances from top contemporary musical artists . The concept and pitch is attributed to Select Productions ' employee Rick Lewis and prompted the change of the 1993 halftime show to showcase Michael Jackson .",List of Super Bowl halftime shows,20970820
6,"Halftime shows are a tradition during American football games at all levels of competition . Entertainment during the Super Bowl , the annual championship game of the National Football League ( NFL ) , represents a fundamental link to pop culture , which helps broaden the television audience and nationwide interest . As the Super Bowl itself is typically the most - watched event on television in the United States annually , the halftime show has been equally - viewed in recent years : the halftime show of Super Bowl XLIX featuring Katy Perry was viewed by 118.5 million , as part of an overall telecast that peaked at 120.3 million at its conclusion -- the most - watched television broadcast in U.S. history . The NFL claims that the Super Bowl LI halftime show , with Lady Gaga was the '' most - watched musical event of all - time , '' citing a figure of 150 million viewers based on the television audience , as well as unique viewership of video postings of the halftime show on the league 's platforms , and social media interactions ( a metric that was never calculated prior to 2017 ) . However , the show was seen by 117.5 million television viewers , making it the second - highest - rated halftime show .",List of Super Bowl halftime shows,20970820
7,"Halftime shows are a tradition during American football games at all levels of competition . Entertainment during the Super Bowl , the annual championship game of the National Football League ( NFL ) , represents a fundamental link to pop culture , which helps broaden the television audience and nationwide interest . As the Super Bowl itself is typically the most - watched event on television in the United States annually , the halftime show has been equally - viewed in recent years : the halftime show of Super Bowl XLIX featuring Katy Perry was viewed by 118.5 million , as part of an overall telecast that peaked at 120.3 million at its conclusion -- the most - watched television broadcast in U.S. history . The NFL claims that the Super Bowl LI halftime show , with Lady Gaga was the '' most - watched musical event of all - time '' , citing a figure of 150 million viewers based on the television audience , as well as unique viewership of video postings of the halftime show on the league 's platforms , and social media interactions . However , the show was only seen by 117.5 million television viewers , making it the second - highest - rated halftime show behind Super Bowl XLIX .",List of Super Bowl halftime shows,20970820
0,"featured wet wings, the absence of wingtip fuel tanks and landing gear that was changed from straight-leg to a trailing-link design from the 1981 model year onwards. Production ended in 1985 after 1,901 aircraft had been delivered. The 421 was first certified on 1 May 1967 and shares a common type certificate with models 401, 402 411, 414 and 425. Some 421s have been modified to accept turboprop engines, making them very similar to the Cessna 425, which itself is a turboprop development of the 421. The 421 is an all-metal low-wing cabin monoplane with a retractable tricycle landing gear,",Cessna 421,
1,"much revered and collected for their good girl art. (Of special note is the company's breasty crime-fighter-in-bedroom-lingerie, Phantom Lady...along with the wild and scantily attired Rulah, Jungle Goddess.)"" Boyd Magers said of the publisher, ""Never one to overlook a secondary sale, Fox often repackaged four remaindered (unsold) comics into a 25¢ Giant with a new cover, hence ""Hoot Gibson's Western Roundup"", 132 pages dated 1950. However, since Fox always started their stories on the inside front cover (where other publishers ran an ad), these repackaged comics are always missing the first page of story content. Also, since Fox used remaindered",Fox Feature Syndicate,
2,"with the fall of South Vietnam imminent, the squadron returned to Saigon one last time during Operation Babylift, which carried hundreds of Vietnamese orphans to the United States, where adoptive parents awaited their arrival. During the 1970s, the squadron returned to a peacetime status, with routine flights around the world carrying personnel, equipment and supplies as needed. This was interrupted in 1978 following the mass murder-suicide of more than 900 people at the Jonestown religious compound in Guyana, South America. The squadron airlifted bodies to a morgue at Dover Air Force Base (most of the victims were U.S. Citizens). Crew",8th Airlift Squadron,
3,"is open for all people coming outside of the European Union. The service covers special child health care, maternity clinics and specialist medical care etc. practically for free. It is still unclear if this will increase so called health care tourism, because all you have to do is come to Helsinki as a tourist and let the visa expire. The Global Clinic in Turku offers health care for all undocumented immigrants for free. British NHS patients have been offered treatment in France to reduce waiting lists for hip, knee and cataract surgery since 2002. France is a popular tourist destination",Medical tourism,
4,"the publishing company ""ACEMLA"", and not him. In spite of their great popularity in the hearts of 'salseros' around the world his music was banned from Puerto Rican radio stations for decades by the strong-arm tactics of the music publishing company ACEMLA (Asociación de Compositores y Editores de Música Latinoamericana). ACEMLA sued every venue (radio, TV, CATV, Municipalities, Hotels, Restaurants, etc., and even the Catholic Church) in Puerto Rico and every Salsa radio station in New York City for copyright infringement of every song ever written by Curet Alonso, including songs that were already licensed by other publishing companies. In",Tite Curet Alonso,
5,"They were the best out of 15 participating bands in the event, edging out favorites ""Arcangel"" by a very small margin in a legendary duel. The band slowly gained experience and acceptance from the small Dominican rock listeners in Santo Domingo. In 1992 they released the 1st independent album named ""Sueños y Pesadillas Del 3 Mundo"" (Dreams and Nightmares of The 3rd World). This was the first CD ever at that time to be released independently by their own financial means. The CD immediately became a classic and best seller in Dominican rock history. Songs like ""El Bolero Del Biónico"",",Toque Profundo,
6,"being completed if a result is not possible on the first day (for instance if play is prevented or interrupted by rain). As mentioned above, in almost all competitive one-day games, a restriction is placed on the number of overs that may be bowled by any one bowler. This is to prevent a side playing two top-class bowlers with extremely good stamina who can bowl throughout their opponents' innings. The usual limitation is set so that a side must include at least five players who bowl. For example, the usual limit for twenty-over cricket is four overs per bowler, for",Limited overs cricket,
7,"foe. U.S. Agent along with the rest of the West Coast Avengers, the Avengers and the X-Men, participated in the 'Bloodties' crossover, during which Professor X attempted to negotiate a peace to end the civil war on the island of Genosha. U.S. Agent was charged with the responsibility of acting as bodyguard for Professor X. Captain America sarcastically cited U.S. Agent's use of his ""famous powers of composure and diplomacy"" as one example of the recent failings of the West Coast Avengers when he indicated his intention to shut the team down. This provoked U.S. Agent's fury, who raised his",U.S. Agent (character),
