idx,text,title,idx_right
0,"Tuileries Palace The Tuileries Palace (, ) was a royal and imperial palace in Paris which stood on the right bank of the River Seine. It was the usual Parisian residence of most French monarchs, from Henry IV to Napoleon III, until it was burned by the Paris Commune in 1871. Built in 1564, it was gradually extended until it closed off the western end of the Louvre courtyard and displayed an immense façade of 266 metres. Since the destruction of the Tuileries, the Louvre courtyard has remained open and the site is now the location of the eastern end",Tuileries Palace,20971524
1,"of the Tuileries Garden, forming an elevated terrace between the Place du Carrousel and the gardens proper. After the accidental death of Henry II of France in 1559, his widow Catherine de' Medici (1519–1589) planned a new palace. She sold the medieval Hôtel des Tournelles, where her husband had died, and began building the palace of Tuileries in 1564, using architect Philibert de l'Orme. The name derives from the tile kilns or ""tuileries"" which had previously occupied the site. The palace was formed by a range of long, narrow buildings. During the reign of Henry IV (1589–1610), the building was",Tuileries Palace,20971524
2,"enlarged to the south, so it joined the long riverside gallery, the Grande Galerie, which ran all the way to the older Louvre Palace in the east. During the reign of Louis XIV major changes were made to the Tuileries Palace. From 1659 to 1661 it was extended to the north by the addition of the Théâtre des Tuileries. From 1664 to 1666 the architect Louis Le Vau and his assistant François d'Orbay made other significant changes. They transformed Philibert de l'Orme's facades and central pavilion, replacing its grand central staircase with a colonnaded vestibule on the ground floor and",Tuileries Palace,20971524
3,"the Salle des Cents Suisses (Hall of the Hundred Swiss Guards) on the floor above and adding a rectangular dome. A new grand staircase was installed in the entrance of the north wing of the palace, and lavishly decorated royal apartments were constructed in the south wing. The king's rooms were on the ground floor, facing toward the Louvre, and the queen's on the floor above, overlooking the garden. At the same time, Louis' gardener, André Le Nôtre, redesigned the Tuileries gardens. The Court moved into the Tuileries Palace in November 1667, but left in 1672, and soon thereafter went",Tuileries Palace,20971524
4,"to the Palace of Versailles. The Tuileries Palace was virtually abandoned and used only as a theatre, but its gardens became a fashionable resort of Parisians. The boy-king Louis XV was moved from Versailles to the Tuileries Palace on 1 January 1716, four months after ascending to the throne. He moved back to Versailles on 15 June 1722, three months before his coronation. Both moves were made at the behest of the Regent, the duc d'Orléans. The king also resided at the Tuileries for short periods during the 1740s. On 6 October 1789, during the French Revolution, Louis XVI and",Tuileries Palace,20971524
5,"his family were forced to leave Versailles and brought to the Tuileries where they were kept under surveillance. For the next two years the palace remained the official residence of the king. On 9 November 1789, the National Constituent Assembly, formerly the Estates-General of 1789, had moved its deliberations from the tennis court at Versailles to the Tuileries, following the removal of the court to Paris. The Tuileries' covered riding ring, the Salle du Manège (which ran along the north end of the Tuileries Gardens to the west of the palace), home to the royal equestrian academy, provided the largest",Tuileries Palace,20971524
6,"indoor space in the city. The royal family tried to escape after dark, on 20 June 1791, but were captured at Varennes and brought back to the Tuileries. The following year, on 10 August 1792, the palace was stormed by an armed mob, which overwhelmed and massacred the Swiss Guard as the royal family fled through the gardens and took refuge with the Legislative Assembly. The Paris National Guard defended the King, but the daughter of King Louis XVI claimed that many of the guard were already in favor of the revolution. In November 1792, the Armoire de fer incident",Tuileries Palace,20971524
7,"took place at the Tuileries palace. This was the discovery of a hiding place at the royal apartments, believed to contain the secret correspondence of Louis XVI with various political figures. The incident created a considerable scandal that served to discredit the King. The Tuileries accommodated the Constituent Assembly, its successor, the National Convention, and, in 1795, the Council of Five Hundred (""Conseil des Cinq-Cents"") of the Directoire until the body moved to the Palais-Bourbon in 1798. In 1799, the ""Jacobin Club du Manège"" had its headquarters there. The Committee of Public Safety met in the Pavillon de Flore. A",Tuileries Palace,20971524
8,"courtier of a later era could summon up nightmarish visions of the palace's Salle de Spectacle, or theater, where many Convention sessions were held during the Reign of Terror: When Napoleon Bonaparte came into power in 1799, he made the Tuileries the official residence of the First Consul and, later, the imperial palace. In 1808, Napoleon began constructing the northern gallery which also connected to the Louvre, enclosing a vast square (""place""). As Napoleon I's chief residence, the Tuileries Palace was redecorated in the Neoclassical Empire style by Percier and Fontaine and some of the best known architects, designers, and",Tuileries Palace,20971524
9,"furniture makers of the day. In 1809, Jacob-Desmalter, principal supplier of furniture to the Emperor, began work on a jewel cabinet designed for the Empress Joséphine's great bedroom in the Tuileries (and soon to be used by Marie-Louise). Designed by the architect Charles Percier, this impressive piece of furniture was embellished with several gilt-bronze ornaments: the central panel depicts the ""Birth of the Queen of the Earth to whom Cupids and Goddesses hasten with their Offerings"" by the ""bronzier"" Pierre-Philippe Thomire, after a bas-relief by Chaudet. Jacob-Desmalter completed the ""great jewelry box"" in 1812, with two smaller items of furniture",Tuileries Palace,20971524
